transform,cluster,model,MAE,RMSE,MAPE,sMAPE,MASE
log1p,3,naive,1902.8407407407406,2188.7300828218354,47.354034626716384,58.246652089331015,0.9675400341278602
log1p,3,seasonal_naive,1328.6777777777777,1757.6365056152554,61.78711717029029,42.06669545102712,1.2476746246793669
log1p,3,mean,1199.1785548185,1455.513164751277,36.91667960150601,31.871768232704216,0.6612870627020703
log1p,3,median,1178.4662962962964,1432.3237581992469,38.051555155542964,37.9572644907035,0.7708100270442141
log1p,3,AutoTheta,1097.8109729004652,1294.4165168623247,37.24241736833,30.04483008647405,0.6253739362973583
log1p,3,AutoETS,2137.152732444167,3406.2357935985438,58.43100046689549,39.556640785883666,0.9814124181199905
log1p,3,catboost,1004.5031441511125,1259.7513744418504,33.27085732012315,29.936061714823836,0.6277317578053666
boxcox,0,naive,313.82193974080735,372.9024579377008,13.592498787714101,10.343276940698198,1.2495835123624237
boxcox,0,seasonal_naive,325.8201155549115,382.85521617116035,15.210739296818188,11.31199563208607,1.255919203844615
boxcox,0,mean,804.6016213228902,846.1088649784757,31.58862633580569,24.485567341274397,4.123264058953254
boxcox,0,median,822.5108538690465,865.8058036364837,31.888085960877508,25.00994416698909,4.1952177175756304
boxcox,0,AutoTheta,252.92911605773207,302.62543755635454,11.402073768864623,8.671559928924111,0.9735798579016908
boxcox,0,AutoETS,248.98339908023246,297.9105858727421,11.37581388879419,8.656270024528968,0.9089395152445622
boxcox,0,catboost,929.9511435323647,1010.1340363437248,28.49263042971903,35.94745263938806,4.9728998928732375
boxcox,1,naive,1279.3765900795374,1646.4340160602849,13.930142351902361,15.704025103430746,1.429396989726058
boxcox,1,seasonal_naive,1218.564496437646,1521.2730679616843,17.184057639572195,15.937915766493962,1.4610601856316903
boxcox,1,mean,3639.868828193449,3896.976573895538,45.802271632150436,57.70976035164549,6.011269415245332
boxcox,1,median,4108.324227824485,4360.645571115399,50.94764156036914,70.19052031911475,6.7203544052987425
boxcox,1,AutoTheta,1088.8138637309073,1378.3826009111897,13.36424421536259,13.520795545975187,1.1617429390275444
boxcox,1,AutoETS,1002.8009741186983,1267.6515941717912,13.36914077975214,12.713441123553796,1.0673129864588677
boxcox,1,catboost,1915.534997879308,2313.787723298531,23.783984066131655,32.87607768937123,2.509697738680901
boxcox,2,naive,1073.7001414166084,1306.8581045208878,31.02059946043235,25.063153137064198,0.6927653368495095
